"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",-0.0433689024922015,0.133242181181777,-0.305211239082819,-0.135233786217701,-0.042899040952426,0.0473179734197147,0.220405228095546,1.00188673745665,1400
"b[2]",-0.153830381702559,0.189122810190575,-0.513750301651563,-0.282803601387192,-0.152834459410618,-0.022120658630796,0.211620031117041,1.00078940243657,3000
"b[3]",-0.158852233969541,0.220392575694261,-0.581406737909979,-0.311742924795174,-0.154570636169884,-0.00717414842278123,0.260950635813465,1.00085138101212,3000
"b[4]",-0.0777712197516494,0.207038933552054,-0.476963628457783,-0.217202837088891,-0.0735483230936933,0.0668121400289214,0.313172746419692,1.00086296120292,3000
"b[5]",0.0924474747119583,0.181016699846167,-0.25417671812383,-0.0307372060890615,0.0958738808839502,0.215458030927226,0.44128213721166,1.00113172060907,3000
"b[6]",0.188386799669472,0.142877618692985,-0.0905459433282429,0.0945313351544412,0.190160391639698,0.286974490844105,0.467404679894612,1.00124513518118,2700
"b[7]",0.206749218562382,0.125622301705417,-0.041791171807533,0.121594566356843,0.209870442577013,0.291219680765486,0.449372618054821,1.00148288479606,2000
"b[8]",0.179721198014763,0.12165278659156,-0.0553642348142021,0.100159317642288,0.178366133451511,0.264495878236601,0.415505870888214,1.00229538948427,1100
"b[9]",1.05828905685478,1.55524475567323,-2.02550626451371,-0.00635605249901063,1.03713173002727,2.10681835705894,4.05317244378712,1.00066494145036,3000
"b[10]",-0.297436564615664,0.313008731482209,-0.900265195441028,-0.506508060844888,-0.302352111451023,-0.0897539439733636,0.313377349009883,1.00057450040154,3000
"b[11]",-0.129385546871018,0.386271274488928,-0.897748256528909,-0.375577947858501,-0.133130667511706,0.133658850381214,0.60018961384167,1.00063748180238,3000
"b[12]",-0.153068678987156,0.31355113387013,-0.764424865566174,-0.368487206431301,-0.155608064681465,0.0488160151599134,0.470629669033312,1.00082912184457,3000
"b[13]",-0.321045735681097,0.324452394921683,-0.947717193670275,-0.53658407494775,-0.319965721639002,-0.112002192779824,0.333794673694648,1.00080832330054,3000
"b[14]",0.137004419994113,0.327334055895807,-0.495880829594808,-0.0900391831391472,0.136365900465007,0.355979281280649,0.78353939173915,1.00119560784937,2900
"b[15]",0.171477889856268,0.405342700133983,-0.636611489760446,-0.109156797951406,0.17288425215366,0.441533234465892,0.945310849717079,1.00120102430426,2800
"b[16]",-0.0821309087884939,0.279814578532435,-0.642795955527828,-0.271694669674451,-0.0853162017194577,0.104057956981114,0.46860870233409,1.00093411294186,3000
"b[17]",-0.0933923266492621,0.308593942269741,-0.679728033848053,-0.300999171263723,-0.101164306626632,0.111227758296253,0.518242402259862,1.00073525930252,3000
"b[18]",0.467869604783013,0.712315640540504,-0.893049363183,-0.0411951365458673,0.488597172032206,0.957207158625591,1.85409513511988,1.00116668737693,3000
"b[19]",2.14426775410176,0.600555962188682,0.988991223124142,1.73320586817775,2.14423787219443,2.54982689700461,3.33188852812432,1.00069357962944,3000
